Response ID,Recipient Last Name,Distribution Channel,User Language,The restaurant feels luxury.,The restaurant feels high class.,Your gender:,Your age:,Condition Assigned
R_Avbn9cGnRgiLZ4t,,anonymous,EN,9,6,2,35,fast_tempo
R_1C1LyJFrKwheKwn,,anonymous,EN,8,8,1,43,slow_tempo
R_3m1UabeEreg7nY7,,anonymous,EN,9,9,1,25,slow_tempo
R_V4EyoAlOPkaDfLH,,anonymous,EN,7,8,1,39,natural_tempo
R_2xWcVQyAxOY7UMe,,anonymous,EN,9,9,1,28,natural_tempo
R_21c5pXOHQXfMH7E,,anonymous,EN,9,8,1,41,fast_tempo
R_10oOZoA3BsmwSLY,,anonymous,EN,9,9,2,50,fast_tempo
R_b8HqkqqpDs7QR4l,,anonymous,EN,9,9,1,62,natural_tempo
R_3kHsXidPC9pA0CD,,anonymous,EN,8,8,1,43,slow_tempo
R_DV3n2Si4ncCAT0l,,anonymous,EN,9,9,1,78,slow_tempo
R_xAy8FOfmgZvTUkx,,anonymous,EN,9,9,1,43,fast_tempo
R_1jD7dCbS7gL5svN,,anonymous,EN,7,7,1,29,slow_tempo
R_3fZg8W809forOwP,,anonymous,EN,9,8,2,42,slow_tempo
R_1E6gtO0iVsO8dFa,,anonymous,EN,8,8,1,47,fast_tempo
R_1n9qwZghIsFE9Ej,,anonymous,EN,7,7,2,40,natural_tempo
R_1DOnUHywK13y45D,,anonymous,EN,9,8,1,51,natural_tempo
R_yXaQB3Ft7zL0g9P,,anonymous,EN,6,6,1,38,fast_tempo
R_3hDCXMEuTraGL5W,,anonymous,EN,7,7,1,43,natural_tempo
R_3Rpv5iQDCQLBzQ5,,anonymous,EN,6,7,1,24,fast_tempo
R_qWaoE5cp0EpvjNL,,anonymous,EN,9,9,2,29,slow_tempo
R_3rN7JhO7YZ04ppT,,anonymous,EN,9,8,2,66,natural_tempo
R_22wU2CKYLsswAnl,,anonymous,EN,8,8,2,37,slow_tempo
R_1NkvHF0JOjs8TLz,,anonymous,EN,8,9,1,39,natural_tempo
R_vZbpJGTjUc0wEo1,,anonymous,EN,9,8,1,40,fast_tempo
R_1NFyIcYWYnYp5Nk,,anonymous,EN,4,5,1,26,fast_tempo
R_RWQz0Fs6XLv4QAV,,anonymous,EN,6,8,2,31,slow_tempo
R_1K3CtGvwidhDvXk,,anonymous,EN,7,6,1,25,natural_tempo
R_263WMct81f3jLom,,anonymous,EN,8,7,2,54,fast_tempo
R_3g1qIG4Zi8EGR49,,anonymous,EN,6,8,2,33,natural_tempo
R_vrc9D1KubBETQE9,,anonymous,EN,9,9,1,38,natural_tempo
R_3MfGcAy8agy0Xn0,,anonymous,EN,6,9,2,30,fast_tempo
R_eFqk54uEnMPmUhP,,anonymous,EN,9,9,2,35,slow_tempo
R_33lpdt2iVwsXovB,,anonymous,EN,9,8,2,47,slow_tempo
R_1k1ybm4V04JwXaw,,anonymous,EN,5,5,2,37,fast_tempo
R_VUY52LLXdPqqkwN,,anonymous,EN,8,8,2,35,natural_tempo
R_1ZIkMeoXGPtQ1Ud,,anonymous,EN,8,8,2,46,fast_tempo
R_1ClUddYEPrlyprc,,anonymous,EN,9,9,1,65,slow_tempo
R_3Q0ktcWL3bymfrg,,anonymous,EN,7,9,1,27,natural_tempo
R_1hzYXL8j6jqrf52,,anonymous,EN,9,9,2,41,slow_tempo
R_3Nz9h7XOMvk9t4u,,anonymous,EN,7,4,1,54,natural_tempo
R_oXBDFKv8mnKhWDv,,anonymous,EN,9,9,1,28,fast_tempo
R_2wntQainhV3nG2Z,,anonymous,EN,5,5,2,27,fast_tempo
R_22LkKlQSjxVxThl,,anonymous,EN,5,6,2,51,natural_tempo
R_Y3KjRRMd9bvPPwJ,,anonymous,EN,9,9,1,49,slow_tempo
R_3fE86s9XsAx9BnM,,anonymous,EN,9,8,1,56,slow_tempo
R_xaYSC9fh9rYxcWt,,anonymous,EN,9,8,2,38,natural_tempo
R_1Lp4mLVSy05557Q,,anonymous,EN,7,9,1,32,fast_tempo
R_qyK34nRDqrgi9tT,,anonymous,EN,6,6,2,35,slow_tempo
R_23dYCLbcu3kVE3Z,,anonymous,EN,5,3,2,39,natural_tempo
R_3p3fEGFYqRlxXIV,,anonymous,EN,9,7,1,71,fast_tempo
R_2YVUoiKognMXOHV,,anonymous,EN,8,6,1,49,natural_tempo
R_V2Rha5palew3fUZ,,anonymous,EN,8,8,2,64,slow_tempo
R_OvU6r64d7zUL99T,,anonymous,EN,7,7,1,34,natural_tempo
R_Bx08EcgtaG5UAmZ,,anonymous,EN,9,6,2,53,fast_tempo
R_2tr0ys0num5a7ur,,anonymous,EN,6,8,1,55,slow_tempo
R_2woDnDL6VQDesDW,,anonymous,EN,9,9,1,75,fast_tempo
R_2VjXCevegKsCatg,,anonymous,EN,8,7,2,51,natural_tempo
R_2YRKBkDzggCbGLN,,anonymous,EN,9,9,2,34,slow_tempo
R_bpVKlCTIHHNd6Ct,,anonymous,EN,2,3,2,28,fast_tempo
R_3qxuC6v2OefU9Ag,,anonymous,EN,7,6,2,22,slow_tempo
R_1ob5GZWUH8OvBic,,anonymous,EN,7,8,2,20,fast_tempo
R_2CPzob9CVz4ssy1,,anonymous,EN,9,9,1,31,natural_tempo
R_1GD34rdh6K0ntXX,,anonymous,EN,8,9,1,31,natural_tempo
R_3FKvngbuNSY5Rnc,,anonymous,EN,6,7,1,69,fast_tempo
R_UmgFI1kKQMrTNzX,,anonymous,EN,9,9,1,70,slow_tempo
R_qPIOBbaHUQSlylr,,anonymous,EN,9,9,1,19,slow_tempo
R_1CltEm2OWc3Y6WK,,anonymous,EN,8,7,1,36,natural_tempo
R_W81zCRQ1xsVj44N,,anonymous,EN,2,6,1,39,fast_tempo
R_WoH95KTNwjBTQkh,,anonymous,EN,6,6,2,55,fast_tempo
R_xsCUQLQaQu4AziF,,anonymous,EN,4,6,1,31,natural_tempo
R_2OUpVaPMxnjoTM4,,anonymous,EN,8,7,1,44,slow_tempo
R_2QYhyK9QlzLRKat,,anonymous,EN,7,8,1,24,natural_tempo
R_2UhHkKVxH3lO28H,,anonymous,EN,9,9,2,30,slow_tempo
R_30iZ0btYApUrcoX,,anonymous,EN,8,7,1,38,fast_tempo
R_wR9zHn2OHbwTfiN,,anonymous,EN,2,2,2,51,natural_tempo
R_3EfMiS2SOK4bF4k,,anonymous,EN,9,9,2,22,fast_tempo
R_3GAJ8c7n0azY1xp,,anonymous,EN,9,7,2,29,slow_tempo
R_SBjK0bPPUkzDJYZ,,anonymous,EN,8,8,2,30,fast_tempo
R_3m2W8XNoTUCsOmt,,anonymous,EN,8,8,2,34,natural_tempo
R_1LIN6QWdARVgd3D,,anonymous,EN,7,7,2,33,slow_tempo
R_1OwxiRGGKiQdEdM,,anonymous,EN,6,7,2,29,slow_tempo
R_8wVnXh3ZfvxTBh7,,anonymous,EN,9,8,1,53,fast_tempo
R_1nSXMxpBo7Cb5Nx,,anonymous,EN,6,6,2,37,fast_tempo
R_1pRQAQ5OlGECgvB,,anonymous,EN,9,9,1,29,natural_tempo
R_ZqtsFubLmRO1D5D,,anonymous,EN,6,6,2,52,natural_tempo
R_3FVfIpIkEQ0KIjf,,anonymous,EN,6,8,2,41,slow_tempo
R_1i5xWWvqJF1DQkb,,anonymous,EN,8,8,1,24,fast_tempo
R_1rkyBPTyg49dtDc,,anonymous,EN,8,8,2,57,fast_tempo
R_OloRJndzOW1SFzP,,anonymous,EN,9,9,1,37,fast_tempo
R_Of05POumCNsVHih,,anonymous,EN,7,7,1,53,slow_tempo
R_2VkIlUkSBimH3op,,anonymous,EN,8,9,2,32,natural_tempo
R_31mxNhdMs34Rzq6,,anonymous,EN,7,7,2,37,slow_tempo
R_1mjVUCQb4HEQ0eK,,anonymous,EN,6,7,2,37,fast_tempo
R_2PpLc6MUtUHzEkN,,anonymous,EN,8,8,1,33,slow_tempo
R_BrBYbhiPPgjaMHD,,anonymous,EN,9,9,2,42,natural_tempo
R_3qUIJmZo0xoHb5n,,anonymous,EN,9,9,2,30,slow_tempo
R_UfoZJBIcEUlaeKl,,anonymous,EN,6,7,2,40,natural_tempo
R_4IOCFV1UEH0Asz7,,anonymous,EN,7,8,2,43,fast_tempo
R_22n0U88bzu79j4p,,anonymous,EN,8,7,2,67,fast_tempo
R_yOWSPlohbQSAOjf,,anonymous,EN,5,5,1,51,natural_tempo
R_3ncMfQ92oVvajoM,,anonymous,EN,6,2,1,24,natural_tempo
R_QhxL7SGtptRjKZr,,anonymous,EN,9,9,1,45,slow_tempo
R_XBvwuNkzEUxN81b,,anonymous,EN,8,8,1,32,slow_tempo
R_2tbTXMeh83F7bsC,,anonymous,EN,6,6,1,25,natural_tempo
R_3LXevLrSLrB9nUt,,anonymous,EN,8,7,1,34,natural_tempo
R_2dDSvhoV4QY6s5y,,anonymous,EN,9,9,1,32,slow_tempo
R_322RCnnDVqA2QgG,,anonymous,EN,5,5,1,58,fast_tempo
R_u2lehVWnBsgIY2B,,anonymous,EN,9,9,1,34,natural_tempo
R_z9avPZnmNb1byKJ,,anonymous,EN,5,5,2,35,slow_tempo
R_d4Ip83qiSDjziyR,,anonymous,EN,3,2,2,49,natural_tempo
R_1i2s7ocXW72B4x9,,anonymous,EN,6,5,2,58,fast_tempo
R_2xWDqq51IDW6cbb,,anonymous,EN,5,5,1,25,slow_tempo
R_2cAzz1MucX2ta0T,,anonymous,EN,5,7,1,32,slow_tempo
R_2UbAZcwSX35oYJe,,anonymous,EN,9,7,2,35,natural_tempo
R_31sX0JAKO3Uvp3e,,anonymous,EN,7,9,1,40,fast_tempo
R_OwM5uA852KbtBjX,,anonymous,EN,8,9,1,69,natural_tempo
R_3hfMMVh67o8TDH4,,anonymous,EN,8,7,2,68,slow_tempo
R_1PRzIxtv01n2Ke8,,anonymous,EN,8,8,2,49,slow_tempo
R_6nxzyFjfEDaXCH7,,anonymous,EN,6,5,2,19,natural_tempo
R_1JUy9CleY9SGwc0,,anonymous,EN,9,9,2,57,fast_tempo
R_3qvxpRIYpbjdbSK,,anonymous,EN,6,7,1,47,natural_tempo
R_3oXhjxNsnWcdJut,,anonymous,EN,3,4,2,34,slow_tempo
R_1qXxbzlhHznlB5o,,anonymous,EN,9,9,1,52,slow_tempo
R_1PT78Ib5kv1hVYv,,anonymous,EN,9,8,1,41,fast_tempo
R_Byx6cIvM4sJe9uF,,anonymous,EN,9,9,1,40,fast_tempo
R_3kvLFZnvDeikDMs,,anonymous,EN,9,9,1,31,natural_tempo
R_56i5obvBmd01FXH,,anonymous,EN,9,9,1,33,slow_tempo
R_pxYxZrw2DUFF0e5,,anonymous,EN,9,9,1,35,natural_tempo
R_1hWjyqjzlAeN1em,,anonymous,EN,6,7,1,39,fast_tempo
R_3s6y9cPOQxAg6LS,,anonymous,EN,9,9,1,35,slow_tempo
R_1CHIbtH3Kds3qQL,,anonymous,EN,8,6,1,35,natural_tempo
R_1LN0pBDLeonVZSZ,,anonymous,EN,8,7,1,31,fast_tempo
R_3nNuiUgNhHgeJYb,,anonymous,EN,6,6,2,62,natural_tempo
R_3PuFMWwo4pO7F1y,,anonymous,EN,7,7,1,30,slow_tempo
R_3I3Ik35xLOyKcR5,,anonymous,EN,5,7,1,36,fast_tempo
R_3Jq0ybbv8TqFaXU,,anonymous,EN,7,7,2,66,fast_tempo
R_2WG1EoavkTWxkIo,,anonymous,EN,8,8,2,48,slow_tempo
R_3NU88jGGNQYK0l9,,anonymous,EN,7,7,1,31,natural_tempo
R_2QKwRIj3uYalvID,,anonymous,EN,7,9,1,21,fast_tempo
R_Wcev46Fc199gPuN,,anonymous,EN,9,9,2,30,slow_tempo
R_2anvlbURhrx3m9v,,anonymous,EN,9,9,1,24,natural_tempo
R_0CjUzbG2kMQS0Vj,,anonymous,EN,9,9,2,46,slow_tempo
R_2dKheVHBKEZIxkN,,anonymous,EN,3,3,2,29,fast_tempo
R_2dnZEJ7MuwsO1eM,,anonymous,EN,7,5,2,39,natural_tempo
R_3EiiAdmnQT5kFrA,,anonymous,EN,7,8,1,38,fast_tempo
R_1EXLh2RiqFZMCRW,,anonymous,EN,7,7,1,34,slow_tempo
R_3MtZZ61hxR2iQEw,,anonymous,EN,6,6,1,38,natural_tempo
R_ZwzgGX7OvbVR8NH,,anonymous,EN,7,8,2,32,slow_tempo
R_3npcqpl4MltEISf,,anonymous,EN,9,7,1,61,fast_tempo
R_3nluJU9tmtG7dps,,anonymous,EN,9,9,2,28,natural_tempo
R_3oTO6ps0nzS3X6e,,anonymous,EN,7,8,1,42,natural_tempo
R_1JLLTZpI3B9vR1z,,anonymous,EN,8,9,2,46,slow_tempo
R_3PcNT055nTC7ApO,,anonymous,EN,5,4,2,32,fast_tempo
R_w0DclKHDsLpPFG9,,anonymous,EN,9,9,1,63,slow_tempo
R_22xpeG7wrHWiiIO,,anonymous,EN,6,4,1,45,fast_tempo
R_2Bfl2In9sMp7qLW,,anonymous,EN,9,8,1,42,slow_tempo
R_Q54EqlVGlABs5hf,,anonymous,EN,5,6,2,27,natural_tempo
R_2f7GBssHigGuQKv,,anonymous,EN,8,9,1,33,slow_tempo
R_3NVYLAoxx4ZA9Vj,,anonymous,EN,5,6,2,27,fast_tempo
R_u7zBhGSvWJPeWyJ,,anonymous,EN,8,8,1,45,slow_tempo
R_12tX8212cRL3soq,,anonymous,EN,7,6,2,44,fast_tempo
R_ZjERFsdQTTVRWnL,,anonymous,EN,5,5,1,42,fast_tempo
R_2S7R5ImvV0bwEJE,,anonymous,EN,7,8,2,29,slow_tempo
R_3JyqJwcJnSGYiJ3,,anonymous,EN,9,9,2,28,slow_tempo
R_3fUaesk2Aphs2lO,,anonymous,EN,7,6,1,37,natural_tempo
R_1dlVPQi4jEfhii0,,anonymous,EN,9,8,1,36,natural_tempo
R_9uyHJuFAiZjZHeV,,anonymous,EN,7,8,2,32,fast_tempo
R_DGF8vqkzlmei0h3,,anonymous,EN,6,7,2,27,fast_tempo
R_10AGU89PMjoUexx,,anonymous,EN,9,9,2,35,natural_tempo
R_3nJ0ijCUUrvbJEU,,anonymous,EN,5,7,1,36,slow_tempo
R_3kHwHR0TSOKNqZP,,anonymous,EN,8,4,1,34,natural_tempo
R_2whJXjsBOo5A5NS,,anonymous,EN,7,7,1,58,slow_tempo
R_0NyE1VeC3gGG7Kx,,anonymous,EN,9,9,1,34,fast_tempo
R_3dH8w2yIGCt1xGE,,anonymous,EN,9,9,1,34,natural_tempo
R_2yeXs02pfGNTBcN,,anonymous,EN,7,7,1,44,slow_tempo
R_2uQdwD6yZzO9B0J,,anonymous,EN,5,6,2,38,fast_tempo
R_3rOEFma7wQQ9e5A,,anonymous,EN,8,7,2,26,slow_tempo
R_28Sa9ngGsyIVkhp,,anonymous,EN,9,9,1,29,slow_tempo
R_2aIEUYoby1CRgIa,,anonymous,EN,5,6,2,52,fast_tempo
R_OKfFSg5yGQFytix,,anonymous,EN,6,5,2,29,natural_tempo
R_3G1l4Rp4KFtoRRK,,anonymous,EN,8,8,1,48,fast_tempo
R_28P2CBjesbDR7X6,,anonymous,EN,8,9,2,58,slow_tempo
R_25Z0z0bIU6GUqhC,,anonymous,EN,9,6,2,52,slow_tempo
R_ysUeyOGvrBUTTG1,,anonymous,EN,5,6,1,45,fast_tempo
R_2CPO4Hp3OAB5P2l,,anonymous,EN,8,6,2,48,fast_tempo
R_2YKYBAJt3Yr97oz,,anonymous,EN,9,8,1,55,natural_tempo
R_1poIpQTCx8ER4n9,,anonymous,EN,7,7,1,22,natural_tempo
R_1nPDYrdCW7dA5qA,,anonymous,EN,5,5,1,31,slow_tempo
R_1pR9RMRXw9Xj5gu,,anonymous,EN,4,5,1,47,fast_tempo
R_xhGCfzZWIDyeUbn,,anonymous,EN,5,5,2,30,natural_tempo
R_1LOnuTtbDWBUfp2,,anonymous,EN,9,9,2,24,slow_tempo
R_5BCaRfRLKcz6DOV,,anonymous,EN,7,7,1,25,natural_tempo
R_6JXaizn40LcvwkN,,anonymous,EN,7,7,1,33,slow_tempo
R_3nOVOTiXJW65SmG,,anonymous,EN,7,7,1,28,fast_tempo
R_x41WBmbuf1UaM7L,,anonymous,EN,7,7,2,34,fast_tempo
R_12S7Z242smH67ls,,anonymous,EN,8,7,2,24,slow_tempo
R_w5lqez6a5VZQa89,,anonymous,EN,7,7,2,33,natural_tempo
R_2CkaAKGM4TK7mMc,,anonymous,EN,5,5,2,38,natural_tempo
R_3HFE45Hm9w9Cwv9,,anonymous,EN,9,7,2,35,natural_tempo
R_DIQpcT9k3M7r2kV,,anonymous,EN,6,6,1,30,fast_tempo
R_3sdzTInf8QFAJI8,,anonymous,EN,8,8,1,50,slow_tempo
R_31Krl77bxeVOWUq,,anonymous,EN,1,6,1,34,natural_tempo
R_RRGkIfYhxT2I1IB,,anonymous,EN,5,4,2,53,slow_tempo
R_3MLkvbkUEedwBSZ,,anonymous,EN,9,8,1,41,natural_tempo
R_urc4DJLlUp5cbAZ,,anonymous,EN,9,9,1,46,fast_tempo
R_8wXlCvk2TzAWEVP,,anonymous,EN,7,9,1,48,fast_tempo
R_3KZzZY2Ci7XgGRY,,anonymous,EN,8,7,1,26,natural_tempo
R_2tDqDdEUdvJZjul,,anonymous,EN,4,4,1,62,fast_tempo
R_2cpYCfTcs2hodhE,,anonymous,EN,6,6,1,60,natural_tempo
R_2f2TFqYzkRU0nBy,,anonymous,EN,3,3,2,32,fast_tempo
R_3rIXqFsueWujmQ9,,anonymous,EN,7,7,2,48,natural_tempo
R_2ttANHObH2B9NfZ,,anonymous,EN,9,9,2,37,slow_tempo
R_2SdJi1WgIUIecjK,,anonymous,EN,5,7,1,73,slow_tempo
R_SZWT5Ko5eWFZH1v,,anonymous,EN,8,8,1,39,slow_tempo
R_3lDFXXuERWKU3dD,,anonymous,EN,7,6,2,34,slow_tempo
R_2QtT0R4GXpZgJz0,,anonymous,EN,9,9,2,30,natural_tempo
R_2uPsOBmLGcnhbq4,,anonymous,EN,9,8,1,58,fast_tempo
R_3q7JptsyNPLMJI7,,anonymous,EN,9,9,2,19,natural_tempo
R_2rnZIXfk0NIBj1k,,anonymous,EN,7,8,1,32,natural_tempo
R_xaovA2U9b2k4h4l,,anonymous,EN,9,9,1,35,slow_tempo
R_1qWKCrF8AeOJ9Ax,,anonymous,EN,9,9,2,32,fast_tempo
R_3dHftkBvDWVKtUA,,anonymous,EN,9,5,1,38,slow_tempo
R_29cBDWsRCBaDyJ9,,anonymous,EN,7,6,1,43,fast_tempo
R_Tpvxr6VDTl2XlxT,,anonymous,EN,7,7,2,28,fast_tempo
R_2YRpJu7SHx75NBh,,anonymous,EN,8,9,2,34,fast_tempo
R_28AiQYFHt1survj,,anonymous,EN,8,8,1,24,natural_tempo
R_2fecCO5OPFPt7Fb,,anonymous,EN,7,8,1,49,fast_tempo